Date,AAPL,MSFT,GOOGL,TSLA,JPM,PFE,WMT,VTI
2022-09-15,149.716796875,238.43252563476562,102.06642150878906,303.75,108.01338195800781,37.66105651855469,42.64339828491211,186.78724670410156
2022-09-16,148.07586669921875,237.81063842773438,101.95734405517578,303.3500061035156,107.28944396972656,37.73484802246094,42.5539436340332,185.0850372314453
2022-09-19,151.79002380371094,237.59686279296875,102.22510528564453,309.07000732421875,108.27913665771484,37.25116729736328,42.91817092895508,186.39730834960938
2022-09-20,154.1679229736328,235.58544921875,100.3109359741211,308.7300109863281,106.14397430419922,36.70191192626953,42.6689567565918,184.22915649414062
2022-09-21,151.04330444335938,232.18455505371094,98.46617889404297,300.79998779296875,103.08326721191406,36.005096435546875,43.05875015258789,181.0814666748047
2022-09-22,150.08033752441406,234.15708923339844,99.3191146850586,288.5899963378906,101.9103012084961,36.5379524230957,42.61783981323242,179.055908203125
2022-09-23,147.810546875,231.18374633789062,97.93060302734375,275.3299865722656,100.01339721679688,36.13625717163086,41.55391311645508,175.96746826171875
2022-09-26,148.14466857910156,230.72703552246094,97.36526489257812,276.010009765625,97.85992431640625,35.931304931640625,41.95329284667969,174.03842163085938
2022-09-27,149.11741638183594,229.71652221679688,96.70076751708984,282.94000244140625,96.99851989746094,36.14445495605469,41.8382682800293,173.78054809570312
2022-09-28,147.2308349609375,234.2445526123047,99.2298812866211,287.80999755859375,98.95955657958984,36.42318344116211,42.528377532958984,177.43817138671875
2022-09-29,139.99899291992188,230.77566528320312,96.62142944335938,268.2099914550781,97.28260803222656,36.20184326171875,42.25360870361328,173.7519073486328
2022-09-30,135.79351806640625,226.30584716796875,94.86593627929688,265.25,95.76142120361328,35.87392807006836,41.438899993896484,171.39305114746094
2022-10-03,139.9695281982422,233.92391967773438,97.8314208984375,242.39999389648438,98.72130584716797,36.18544006347656,42.34307861328125,175.747802734375
2022-10-04,143.5559844970703,241.83343505859375,100.80683135986328,249.44000244140625,103.33985900878906,36.44776916503906,42.892616271972656,181.39186096191406
2022-10-05,143.85072326660156,242.14434814453125,100.59855651855469,240.80999755859375,102.06394958496094,36.16904067993164,42.467674255371094,181.04808044433594
2022-10-06,142.89764404296875,239.8026123046875,100.58863067626953,238.1300048828125,99.98365020751953,35.32466506958008,42.071495056152344,179.31951904296875
2022-10-07,137.65061950683594,227.60792541503906,97.87109375,223.07000732421875,97.98656463623047,34.693443298339844,41.07466125488281,174.19117736816406
2022-10-10,137.974853515625,222.75918579101562,97.05782318115234,222.9600067138672,97.07122039794922,34.22615051269531,41.317481994628906,172.80642700195312
2022-10-11,136.5599365234375,219.02792358398438,96.38338470458984,216.5,94.26976776123047,34.365509033203125,42.38779830932617,171.69863891601562
2022-10-12,135.9311065673828,219.35830688476562,96.7602767944336,217.24000549316406,95.79532623291016,34.45569610595703,41.90855407714844,171.230712890625
2022-10-13,140.50013732910156,227.60792541503906,98.24798583984375,221.72000122070312,101.12086486816406,35.23448944091797,42.26320266723633,175.48045349121094
2022-10-14,135.9704132080078,222.08872985839844,95.76847839355469,204.99000549316406,102.80359649658203,35.13611602783203,41.67212677001953,171.34530639648438
2022-10-17,139.93020629882812,230.80477905273438,99.1505126953125,219.35000610351562,107.12137603759766,35.783756256103516,41.97245788574219,175.91976928710938
2022-10-18,141.24688720703125,231.74729919433594,99.94395446777344,220.19000244140625,109.87660217285156,36.14445495605469,42.85746383666992,178.0684814453125
2022-10-19,141.35498046875,229.78453063964844,98.81330871582031,222.0399932861328,107.72235870361328,35.341060638427734,42.73605728149414,176.550048828125
